id, username, timestamp, green, red, mint, blue, purple, pink, orange, level
2551,rachel,1:41:55,C_6,F_2,D_6,E_2,F_6,C_7,G_1,1
2552,rachel,1:41:55,B_2,E_1,D_2,E_2,F_6,D_5,E_7,1
2553,rachel,1:41:55,B_1,C_5,G_7,D_2,A_4,G_3,F_5,1
2554,rachel,1:41:55,B_2,B_1,F_1,F_4,D_6,E_7,G_4,1
2555,rachel,1:41:55,E_6,F_1,B_4,D_7,E_4,E_1,C_7,1
2556,rachel,1:42:14,C_1,A_3,B_2,F_1,F_4,B_4,G_1,1
2557,rachel,1:42:14,C_1,C_6,B_7,B_4,E_4,F_7,F_5,1
2558,rachel,1:42:14,F_3,E_6,C_5,E_1,C_7,G_2,C_4,1
2559,rachel,1:42:14,E_7,C_2,B_6,D_3,B_5,G_5,E_5,1
2560,rachel,1:42:14,E_6,B_7,F_1,E_1,E_2,A_4,E_5,1
2561,rachel,1:42:26,B_1,G_4,D_6,D_4,G_5,G_1,G_2,2
2562,rachel,1:42:26,B_7,C_5,B_3,C_3,G_5,E_5,F_5,2
2563,rachel,1:42:26,C_1,F_1,B_6,C_3,G_5,D_6,G_4,2
2564,rachel,1:42:26,F_3,C_2,B_6,F_7,D_6,F_6,E_2,2
2565,rachel,1:42:26,A_2,B_4,D_7,E_4,D_2,G_1,G_3,2
2566,rachel,1:42:26,C_5,B_3,B_6,E_1,D_6,E_2,G_5,2
2567,rachel,1:42:26,E_6,G_6,F_3,C_2,E_7,G_4,F_5,2
2568,rachel,1:42:26,B_1,B_6,F_1,F_4,E_4,G_5,G_3,2
2569,rachel,1:42:26,C_1,C_5,F_4,D_2,A_1,D_1,E_5,2
2570,rachel,1:42:26,C_6,F_1,G_7,D_7,F_6,D_1,E_3,2
